item_equipment_slot_name,item_id,ocid
얼굴장식,시바의시선,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 투구,잠옷파티토끼머리끈,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
망토,용성장견'마8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 겉옷,토끼소년의상No01,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
신발,,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
목/어깨장식,고대마령의목걸이8성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 무기,행운의채굴곡괭이,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 방패/보조무기,,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 얼굴장식,[30주년]넥슨히어로하트,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 망토,캐주얼블랙백팩,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 신발,봄의청사기운,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 목/어깨장식,딱콩삐쭉스카프No03,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
세트옷,[괴수의상]바루나3성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 세트옷,,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
장신구,봉황삼작금노리개1성,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 장신구,,17c7a3a794cceab47d6d4c869a8f7522efe8d04e6d233bd35cf2fabdeb93fb0d
무기,용마제십검,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
갑옷,용마멸아갑8성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
방패/보조무기,고대마령의단검8성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
투구,고대마령모자10성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
왼손,바람청옥장갑,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
오른손,바람청옥장갑,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
보조1,빛나는마사의귀목,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
보조2,빛나는마사의귀목,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
얼굴장식,찬란한시바의시선,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 투구,,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
망토,암흑룡의망토,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 겉옷,백호무신의갑옷(여),a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
신발,고대마령의군화'흑8성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
목/어깨장식,고대마령의목걸이10성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 무기,행운의채굴곡괭이,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 방패/보조무기,악마계약자갈퀴방패,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 얼굴장식,백호무신의안대,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 망토,백호무신의기운,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 신발,바람레이스부츠,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 목/어깨장식,,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
세트옷,[괴수의상]아그니3성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 세트옷,[구]웨딩드레스No08,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
장신구,자수원앙노리개4성,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
캐시 장신구,VIP뱃지,a198e09876905fad8e6a91c18797ced186e68d4012202d0434d05f81868f68e3
보조1,천도의목걸이,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
무기,불멸용마검'3강,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
갑옷,패자황금갑주,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
방패/보조무기,환인방패'1성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
투구,패자황금투구,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
왼손,패자황금장갑,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
오른손,패자황금장갑,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
보조2,빛나는마사의귀목,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
얼굴장식,고대마령의암막9성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 투구,목멱선화흑룡노리개,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
망토,무신귀갑주10성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 겉옷,목멱선화흑문나포(남),c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
신발,고대마령의군화'흑10성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
목/어깨장식,고대마령의목걸이9성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 무기,목멱선화흑령염주,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 방패/보조무기,,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 얼굴장식,코밑수염,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 망토,목멱선화묵첩족자,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 신발,목멱선화암향소영,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 목/어깨장식,,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
세트옷,[괴수의상]아그니3성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 세트옷,바람미니미도적,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
장신구,자수원앙노리개4성,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
캐시 장신구,목멱선화흑월비익,c1ad15f3ed217b17980cb516231bbdfe46a65b8b6b5e842bb857fbf7b25cabaa
무기,극'진일신검,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
갑옷,패자황금연갑,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
방패/보조무기,고대마령의단검8성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
투구,고대마령모자10성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
왼손,패자황금장갑,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
오른손,패자황금장갑,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
보조1,마사의귀목,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
보조2,마사의귀목,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
얼굴장식,시바의시선,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 투구,시간여행자머리장식(여),6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
망토,용성장견'마8성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 겉옷,시간여행자의상(여),6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
신발,사령웅의앞발,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
목/어깨장식,고대마령의목걸이8성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 무기,시간여행자차원봉,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 방패/보조무기,시간여행자드론,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 얼굴장식,,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 망토,시간여행자망토(여),6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 신발,시간여행자비행선,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 목/어깨장식,스트릿캐주얼사각목걸이,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
세트옷,[괴수의상]바루나5성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 세트옷,,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
장신구,붉은토끼풀노리개1성,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
캐시 장신구,금빛화랑귀걸이,6605493618e36bd22d0f8e04a7a2ad0e1c093150d8c67aa37c548653de6720f6
무기,용마제십검,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
갑옷,패자황금갑주,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
방패/보조무기,고대마령의단검7성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
투구,환웅의투구'9성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
왼손,패자황금장갑,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
오른손,패자황금장갑,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
보조1,마령의노리개'흑8성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
보조2,마사의귀목,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
얼굴장식,고대마령의암막8성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 투구,은빛미호의귀,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
망토,용성장견'마8성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 겉옷,은빛미호의상(남),7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
신발,고대마령의군화'흑8성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
목/어깨장식,고대마령의목걸이8성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 무기,은빛미호의영혼,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 방패/보조무기,은빛미호,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 얼굴장식,,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 망토,은빛미호의짧은꼬리,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 신발,산신의장화,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 목/어깨장식,은빛미호장식,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
세트옷,[괴수의상]아그니1성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 세트옷,[구]웨딩드레스No05,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
장신구,붉은토끼풀노리개2성,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
캐시 장신구,달빛노리개,7a9e7ff71d6a8994210132cd458e3f6dfd50b3c01f2369579b36389cc90e60b4
무기,용마제십검,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
갑옷,패자황금갑주,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
방패/보조무기,고대마령의단검6성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
투구,고대마령투구10성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
왼손,패자황금장갑,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
오른손,패자황금장갑,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
보조1,빛나는마사의귀목,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
보조2,마사의귀목,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
얼굴장식,시바의시선,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 투구,의사대머리,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
망토,용성장견'마8성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 겉옷,동글푹신토끼옷,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
신발,고대마령의군화'흑8성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
목/어깨장식,고대마령의목걸이6성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 무기,행운의채굴곡괭이,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 방패/보조무기,양양이No01,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 얼굴장식,눈장식:순정만화,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 망토,바람유니콘꼬리,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 신발,토끼발자국No01,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 목/어깨장식,딱콩삐쭉스카프No03,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
세트옷,[괴수의상]아이라바타1성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 세트옷,,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
장신구,붉은토끼풀노리개1성,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
캐시 장신구,초코델리귀걸이,ea48e740b189fabb49d38a3f39021c19efe8d04e6d233bd35cf2fabdeb93fb0d
무기,불멸용마검'3강,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
갑옷,패자황금갑주,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
방패/보조무기,환인방패'1성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
투구,패자황금투구,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
왼손,패자황금장갑,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
오른손,패자황금장갑,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
보조1,천도의목걸이,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
보조2,빛나는마사의귀목,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
얼굴장식,고대마령의암막9성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 투구,마법학교소년헤어,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
망토,용성장견'마10성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 겉옷,마법학교소년의상,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
신발,고대마령의군화'흑10성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
목/어깨장식,고대마령의목걸이9성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 무기,마법학교지팡이,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 방패/보조무기,마법학교가방,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 얼굴장식,동화나라라운드안경No01,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 망토,마법학교마법책,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 신발,,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 목/어깨장식,청사목도리,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
세트옷,[괴수의상]아그니5성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 세트옷,[구]웨딩드레스No02,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
장신구,자수원앙노리개4성,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
캐시 장신구,마법학교모자,1c402d0def5ffedfbd225b09f4644de13663933da92e7566c55104ec9ac2894d
무기,용마제십검,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
갑옷,환웅의갑주'9성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
방패/보조무기,고대마령의단검6성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
투구,금린추월관8성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
왼손,바람청옥장갑,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
오른손,바람청옥장갑,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
보조1,마사의귀목,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
보조2,마사의귀목,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
얼굴장식,조사장의가면,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 투구,가을홀릭소년헤어No02,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
망토,용성장견'마8성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 겉옷,겸사복의상No02,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
신발,사령웅의앞발,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
목/어깨장식,고대마령의목걸이8성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 무기,오래된채굴곡괭이,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 방패/보조무기,,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 얼굴장식,,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 망토,우아한눈꽃도포,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 신발,토끼발자국No01,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 목/어깨장식,대재앙하트목걸이,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
세트옷,[괴수의상]바루나1성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
캐시 세트옷,[구]망또No02,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
장신구,붉은토끼풀노리개1성,68d0e8c6a17eeb87d49e63e252a7b5502c80a75b10a900bae7267f7b22c88765
